Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Bild;Rabattgruppe;Gewicht;id;
06-1000455;242,40;Seitenverblendung Links einseitig RAL 10;;Lateral sheathing left one-sided RAL 1007;;Habillage latéral gauche unilatéral RAL 1007;;Pannello laterale sinistro unilaterale RAL 1007;;Stranska obloga levo, enostranska RAL 1007;;Revestimiento lateral izq. unilateral RAL 10;;;;;;;;;;;Ersatzt;1,54;435694;
06-1000457;242,40;Seitenverblendung Rechts einseitig RAL 1;;Lateral sheathing right one-sided RAL 1007;;Habillage latéral droit unilatéral RAL 1007;;Pannello laterale destro unilaterale RAL 1007;;Stranska obloga desno, enostranska RAL 1007;;Revestimiento lateral der. unilateral RAL 1;;;;;;;;;;;Ersatzt;1,54;435695;
06-1000462;448,60;Seitenverkleidung Links;;Side casing left:;;Habillage latéral gauche;;Rivestimento laterale sinistro;;Stranska obloga levo;;Revestimiento lateral izquierdo RAL1008;;;;;;;;;;;Ersatzt;16,38;435696;
06-1000464;125,50;Verkleidungsdeckel Hinten 1,25x410x500,5   RAL 6005;;Casing cover rear 1.25x410x500.5 RAL 6005;;Couvercle d’habillage arrière 1,25x410x500,5   RAL 6005;;Coperchio di rivestimento posteriore 1,25x410x500,5   RAL 6005;;Obloga pokrova zadaj 1,25x410x500,5 RAL 6005;;Tapa de revestimiento trasera 1,25x410x500,5 RAL 6005;;;;;;;;;;;Ersatzt;1,73;435697;
06-1000465;128,20;Verkleidungsdeckel Hinten;;Casing cover rear;;Couvercle d’habillage arrière;;Coperchio di rivestimento posteriore;;Obloga pokrova zadaj;;Revestimientoscubierta posterior;;;;;;;;;;;Ersatzt;1,48;435698;
06-1000466;141,50;Verkleidungsdeckel Mitte 1,00x500,5x663   RAL 6005;;Casing cover middle 1.00x500.5x663 RAL 6005;;Couvercle d’habillage centre 1,00x500,5x663   RAL 6005;;Coperchio di rivestimento centrale 1,00x500,5x663   RAL 6005;;Obloga pokrova, srednji del, 1,00x500,5x663 RAL 6005;;Tapa de revestimiento central 1,00x500,5x663 RAL 6005;;;;;;;;;;;Ersatzt;3,22;435699;
06-1000470;869,40;Türverkleidung;;Door casing;;Habillage de porte;;Rivestimento della porta;;Obloga vrat;;Panel de la puerta;;;;;;;;;;;Ersatzt;17,80;435700;
06-1000479;18,70;Drehmomentstütze;;Torque converter bearing;;Cale anticouple;;Sostegno di coppia;;Opornik za vrtilni moment;;Soporte momento de torsión;;;;;;;;;;;Ersatzt;0,12;435701;
06-1000480;16,70;Stellantriebsführung galv. verzinkt 10-1;;Servo drive galvanised ;;Guide servomoteur galv. ;;Guida attuatore con zincatura galvanica ;;Montažni okvir nastavitvenega pogona, galv. pocinkan ;;Guía de accionamiento del regulador galvanizada 10-1;;;;;;;;;;;Ersatzt;0,23;435702;
06-1000487;40,20;Steckerblech, RAL1007 inkl. Kabel Netz;;Plug-in panel 1x97.71x534.47 RAL 1007;;Barrette porte-connecteurs 1x97,71x534,47   RAL 1007;;Pannello spine 1x97,71x534,47   RAL 1007;;Plo?evina vti?a 1 x 97,71 x 534,47 RAL 1007;;Chapa de clavijas 1x97,71x534,47 RAL 1007;;;;;;;;;;;Ersatzt;0,31;435703;
06-1000489;32,10;Steuerungsabdeckung SHV L=486mm für 40-50;;Control cover SHV l=486mm for 40-50;;Couvercle de commande SHV L=486mm pour 40-50                   ;;Copertura comando SHV L=486mm per 40-50;;Pokrov krmilne konzole SHV L=486mm za 40-50;;Cubierta de la zona de control SHV L=486mm para 40-50KW;;;;;;;;;;;Ersatzt;0,53;435704;
06-1000490;36,10;Steuerungsverkleidung SHV;;Control cover SHV;;Habillage de commande SHV;;Copertura comando SHV;;Obloga krmilne konzole SHV;;Revestimiento zona control SHV;;;;;;;;;;;Ersatzt;1,25;435705;
06-1000492;104,60;Haltewinkel 1x97,71x534,47   RAL 1007;;Mounting bracket 1x97.71x534.47 RAL 1007;;Cornière 1x97,71x534,47   RAL 1007;;Angolare di fissaggio 1x97,71x534,47   RAL 1007;;Kotna ploš?a 1x97,71x534,47 RAL 1007;;Escuadra de fijación 1x97,71x534,47 RAL 1007;;;;;;;;;;;Ersatzt;0,39;435706;
06-1000497;30,70;Verkleidungsblende Unten 1,00x177,5x541   schwarz lack.;;Bottom casing blend 1.00x177.5x541 varnished black;;Cache d’habillage en bas 1,00x177,5x541   peint en noir;;Pannello di rivestimento inf. 1,00x177,5x541 nero verniciato;;Zaslon obloge spodaj 1,00 x 177,5 x 541, ?rn lakiran;;Panel de revestimiento inferior 1,00x177,5x541 negro.;;;;;;;;;;;Ersatzt;0,74;435707;
06-1000498;150,50;Seitenverblendung Links einseitig RAL100;;Lateral sheathing left one-sided RAL 1007;;Habillage latéral gauche unilatéral RAL 1007;;Pannello laterale sinistro unilaterale RAL 1007;;Stranska obloga levo, enostranska RAL 1007;;Revestimiento izquierdo unilateral RAL100;;;;;;;;;;;Ersatzt;1,76;435708;
06-1000506;568,60;Seitenverkleidung Rechts;;Side casing right:;;Habillage latéral droit;;Rivestimento laterale destro;;Stranska obloga desno;;Revestimiento lateralderecho RAL 1007;;;;;;;;;;;Ersatzt;15,50;435709;
06-1000508;882,00;Seitenverkleidung Links;;Side casing left:;;Habillage latéral gauche;;Rivestimento laterale sinistro;;Stranska obloga levo;;Revestimiento lateral izquierda RAL 1007;;;;;;;;;;;Ersatzt;20,00;435710;
06-1000512;112,10;Verkleidungsdeckel Mitte 1,00x506x752;;Casing cover middle 1.00x506x752;;Couvercle d’habillage centre 1,00x506x752                      ;;Coperchio di rivestimento centrale 1,00x506x752;;Pokrov obloge srednji 1,00 x 506 x 752;;Tapa de revestimiento central 1,00x506x752;;;;;;;;;;;Ersatzt;3,70;435711;
06-1000513;178,60;Verkleidung Vorne RAL 6005;;Casing front RAL 6005;;Habillage devant RAL 6005                                      ;;Rivestimento anteriore RAL 6005;;Obloga spredaj RAL 6005;;Panel frontal RAL 6005;;;;;;;;;;;Ersatzt;1,10;435712;
06-1000516;754,20;Türverkleidung;;Door casing;;Habillage de porte;;Rivestimento della porta;;Obloga vrat;;Panel de la puerta;;;;;;;;;;;Ersatzt;21,60;435713;
06-1000529;35,30;Deckisolierung Wärmedämmfilz 80x450x760mm;;Cover insulation, insulation felt 80x450x760mm;;Isolation de plafond par feutre isolant 80x450x760mm;;Feltro termoisolante per isolamento copertura 80x450x760mm;;Izolacija pokrova, izolacijski filc 80x450x760mm;;Aislamiento para tapa de fieltro termoaislante 80x450x760mm;;;;;;;;;;;Ersatzt;0,80;435714;
06-1000539;20,00;Deckisolierung Wärmedämmfilz 80x550x760mm;;Cover insulation, insulation felt 80x550x760mm;;Isolation de plafond par feutre isolant 80x550x760mm;;Feltro termoisolante per isolamento copertura 80x550x760mm;;Izolacija pokrova, izolacijski filc 80x550x760mm;;Aislamiento para tapa de fieltro termoaislante 80x550x760mm;;;;;;;;;;;Ersatzt;0,49;435715;
06-1000548;52,50;Verkleidung Bedienteil oben inkl. Isolierung;;Casing operating device, top incl. insulation;;Habillage élément de commande en haut avec isolation;;Rivestimento pannello di comando superiore incl. isolamento;;Obloga upravljalne enote zgoraj z izolacijo;;Carenado superior del panel de aislamiento;;;;;;;;;;;Ersatzt;2,75;435716;
06-1000556;21,80;Isolierung Brennerverkleidung Rechts;;Insulation burner casing right;;Isolation habillage de brûleur droite;;Isolamento rivestimento del bruciatore destro;;Izolacija, obloga gorilnika desno;;Aislamiento quemador carenado derecho;;;;;;;;;;;Ersatzt;0,14;435717;
06-1000557;21,80;Isolierung Brennerverkleidung Links;;Insulation burner casing left;;Isolation habillage de brûleur gauche;;Isolamento rivestimento del bruciatore sinistro;;Izolacija, obloga gorilnika levo;;Aislamiento quemador carenado izquierdo;;;;;;;;;;;Ersatzt;0,14;435718;
06-1000565;57,10;Abdeckhaube FU Nietzeichnung TDS 300kW;;Covering hood FC TDS 300 kW;;Capot convertisseur de fréquence TDS 300kW;;Copertura FU TDS 300kW;;Pokrov ohišja FU TDS 300kW;;Esquema remache cubierta conv. frecuencia TDS 300kW;;;;;;;;;;;Ersatzt;1,84;435719;
06-1000575;58,90;Querträger hinten Gerüst TDS 300kW;;Frame cross-member TDS 300kW                                   ;;Barre transversale arrière châssis TDS 300kW;;Traversa posteriore struttura di sostegno TDS 300kW;;Pre?ni nosilec zadaj, ogrodje TDS 300 kW;;Travesaño trasero estructura TDS 300kW;;;;;;;;;;;Ersatzt;2,66;435720;
06-1000586;82,80;Isolierung Deckblech;;Insulation, cover plate, boiler casing TDS;;Isolation tôle de recouvrement jaquette de chaudière TDS;;Isolamento lamiera di copertura rivestimento caldaia TDS;;Izolacija pokrivne plo?evine obloge kotla TDS;;Aislamiento chapa de cubierta revestimiento de caldera T;;;;;;;;;;;Ersatzt;0,73;438717;
06-1000587;73,90;Isolierung Deckblech;;Insulation, cover plate front boiler casing;;Isolation tôle de recouvrement avant jaquette de chaudière;;Isolamento lamiera di copertura anteriore rivestimento caldaia;;Izolacija pokrivne plo?evine spredaj, obloga kotla;;Aislamiento chapa de cubierta delantera revestim. caldera;;;;;;;;;;;Ersatzt;1,80;438865;
06-1000588;118,80;Deckblech hinten;;Cover plate, rear                                              ;;Tôle de recouvrement derrière                                  ;;Lamiera di copertura posteriore;;Pokrivna plo?evina zadaj;;Cubierta de chapa trasera;;;;;;;;;;;Ersatzt;11,70;435721;
06-1000589;118,80;Deckblech mittig;;Cover plate, middle                                            ;;Tôle de recouvrement centrale                                  ;;Lamiera di copertura centrale;;Pokrivna plo?evina, srednja;;Chapa de cubierta central;;;;;;;;;;;Ersatzt;8,60;435722;
06-1000590;118,80;Deckblech vorne;;Cover plate, front                                             ;;Tôle de recouvrement devant                                    ;;Lamiera di copertura anteriore;;Pokrivna plo?evina spredaj;;Cubierta de chapa delantera;;;;;;;;;;;Ersatzt;9,80;435723;
06-1000609;160,20;Seitenverkleidung oben hinten;;Side casing, top rear assembly;;Habillage latéral en haut derrière assemblage                  ;;Rivestimento laterale posteriore superiore montaggio;;Stranska obloga zgoraj zadaj, sklop;;Revestimiento lateral superior trasero ensambl.;;;;;;;;;;;Ersatzt;10,10;435724;
06-1000615;94,80;Seitenverkl. li. un. hi.;;Side casing, rear lower right;;;;Rivestimento laterale sinistro e posteriore;;;;;;;;;;;;;;;Ersatzt;14,00;435725;
06-1000625;42,10;Halter Doppelverbinder;;Bracket, double connector rivet drawing TDS                    ;;Support connecteur double schéma de rivet TDS;;Supporto connettore doppio schema rivetti TDS;;Držalo dvojnega spojnika, skica kovi?enja TDS;;Esquema de remache soporte conector doble TDS;;;;;;;;;;;Ersatzt;0,12;435726;
06-1000627;3,90;Versteifungsblech Doppelverbinder;;Reinforcing plate, double connector                            ;;Tôle de renforcement connecteur double;;Lamiera di rinforzo raccordo doppio;;Oja?itvena ploš?a, dvojni spojnik;;Chapa de refuerzo para conector doble;;;;;;;;;;;Ersatzt;0,20;435727;
06-1000636;342,10;Zwischenverkleidung Vorne;;Intermediate casing, front;;Habillage intermédiaire avant;;Rivestimento intermedio anteriore;;Vmesna obloga spredaj;;Revestimiento intermedio delantero;;;;;;;;;;;Ersatzt;3,85;435728;
06-1000643;215,10;Rückwandverkleidung oben;;Rear wall casing, top;;Habillage de panneau arrière en haut                           ;;Rivestimento parete posteriore superiore;;Obloga zadnje stene zgoraj;;Revestimiento superior de la pared trasera;;;;;;;;;;;Ersatzt;18,64;435729;
06-1000646;21,60;Isolierung Rückwand mittig, Glasseide S1;;Insulation, middle rear wall, glass fibre S1                   ;;Isolation panneau arrière centre, fibre de verre S1            ;;Isolamento parete posteriore centrale, fibra di vetro S1;;Izolacija zadnje stene, srednji del, stekleni filament S1;;Aislamiento pared trasera central, seda de vidrio S1;;;;;;;;;;;Ersatzt;0,30;435730;
06-1000647;98,90;Rückwandverkleidung mittig Nietzeichnung;;Rear wall casing, middle rivet drawing;;Habillage de panneau arrière centre schéma de rivet            ;;Rivestimento parete posteriore intermedio schema rivetti;;Obloga zadnje stene, srednji del, oznaka kovice;;Esquema de remache revestim. central pared trasera;;;;;;;;;;;Ersatzt;9,20;435731;
06-1000650;40,20;Isolierung Rückwand unten Glasseide S100;;Insulation, lower rear wall, glass fibre S100                  ;;Isolation panneau arrière en bas fibre de verre S100           ;;Isolamento parete posteriore inferiore in fibra di vetro S100;;Izolacija zadnje stene, spodaj, stekleni filament S100;;Aislamiento pared trasera inferior seda de vidrio S100;;;;;;;;;;;Ersatzt;0,20;435732;
06-1000651;120,30;Rückwandverkleidung unten Nietzeichnung;;Rear wall casing, bottom ;;Habillage de panneau arrière en bas ;;Rivestimento parete posteriore inferiore ;;Obloga zadnje stene spodaj ;;Esquema de remache revestim. inferior pared trasera;;;;;;;;;;;Ersatzt;2,80;435733;
06-1000653;28,10;Dichtleiste Kesselverkleidung TDS 150kW;;Sealing strip boiler casing TDS 150 kW;;Barrette d’étanchéité jaquette de chaudière TDS 150kW;;Listello di tenuta rivestimento caldaia TDS 150kW;;Tesnilna letev, obloga kotla TDS 150 kW;;Regleta de obturación revestim. caldera TDS 150kW;;;;;;;;;;;Ersatzt;0,85;435734;
06-1000655;120,30;Verkleidungstür oben rechts;;Casing door, top right;;;;Porta di rivestimento sopra a destra;;;;;;;;;;;;;;;Ersatzt;7,20;435735;
06-1000657;74,80;Verkleidung Revisionsöffnung TDS;;Casing, inspection opening TDS;;Habillage ouverture de maintenance TDS                         ;;Rivestimento apertura di controllo TDS;;Obloga kontrolne odprtine TDS;;Revestimiento abertura de inspección TDS;;;;;;;;;;;Ersatzt;3,00;435736;
06-1000658;69,40;Rückwandblende Kesselverkleidung TDS 150;;Rear wall panel, boiler casing TDS 150;;Cache de panneau arrière jaquette de chaudière TDS 150;;Pannello posteriore rivestimento caldaia TDS 150;;Zaslon zadnje stene, obloga kotla TDS 150;;Panel trasero revestimiento de caldera TDS 150;;;;;;;;;;;Ersatzt;10,00;435737;
06-1000659;297,90;Seitenverkleidung links oben Zusammenbau;;Side cladding, upper left assembly                             ;;Habillage latéral en haut à gauche assemblage                  ;;Rivestimento laterale superiore sinistro montaggio;;Stranska obloga levo zgoraj, sklop;;Revestimiento lateral superior izquierdo ensambl.;;;;;;;;;;;Ersatzt;21,00;439005;
06-1000661;316,40;Frontverkleidung;;Front casing;;Habillage avant                                                ;;Rivestimento anteriore;;Obloga sprednjega dela;;Revestimiento delantero;;;;;;;;;;;Ersatzt;21,20;435738;
06-1010174;105,60;Rückwandverkl. links unten;;Rear wall casing, lower left;;Habillage de panneau arrière en bas à gauche                   ;;Rivestimento parete posteriore inferiore sinistro;;Obloga zadnje stene levo spodaj;;Revestimiento trasero izq. inf.;;;;;;;;;;;Ersatzt;8,70;435739;
06-1010176;15,20;Isol. Rückwandverkl. li. un.;;Insul. side casing, rear lower left;;;;Rivestimento parete posteriore isolato sinistra sotto;;;;;;;;;;;;;;;Ersatzt;0,52;437793;
06-1010178;12,40;Isol. Rückwandverkl. re. un.;;Insul. side casing, rear lower right;;;;Rivestimento parete posteriore isolato destra sotto;;;;;;;;;;;;;;;Ersatzt;0,40;437794;
06-1010183;185,50;Seitenverkl. re. un. hi.;;Side casing, rear lower right;;Habillage lat. à dr. en bas derr.;;Rivestimento laterale dx  inf. post.;;Stranska obloga desno spodaj zadaj;;Revestimiento lateral der. inf. tras.;;;;;;;;;;;Ersatzt;13,70;435740;
06-1010188;96,60;Deckel Reinigungsöffnung;;Cover for cleaning opening                                     ;;Couvercle orifice de nettoyage                                 ;;Coperchio apertura per la pulizia;;Pokrov, kontrolna odprtina;;Tapa abertura de limpieza;;;;;;;;;;;Ersatzt;2,50;435741;
06-1010192;31,80;Isolierung;;Insulation                                                     ;;Isolation                                                      ;;Isolamento;;Izolacija;;Aislamiento;;;;;;;;;;;Ersatzt;0,20;435742;
06-1010262;19,50;Blinddeckel Ablaufs. + Vorlauf;;Blind cover discharge safety device + feed;;Couvercle aveugle régulateur + départ                          ;;Coperchio cieco disp. di regolaz. termica + mandata;;Slepi pokrov na strani odvoda + dvižni vod;;Tapa ciega sinfín salida + impulsión;;;;;;;;;;;Ersatzt;1,00;435743;
06-1010267;50,40;Abdeckblech Brenner;;cover plate, burner                                            ;;Tôle de recouvrement brûleur                                   ;;Lamiera di copertura bruciatore;;Pokrivna plo?evina, gorilnik;;Chapa de cubierta quemador;;;;;;;;;;;Ersatzt;1,30;439630;
06-1010268;103,00;Verkleidungsdeckel;;Cladding cover                                                 ;;Couvercle d’habillage                                          ;;;;;;;;;;;;;;;;;Ersatzt;3,88;438892;
06-1010269;10,40;Halteblech Aschebehälter;;Bracket, ash container                                         ;;Tôle de fixation bac à cendres                                 ;;Lamiera di fissaggio contenitore della cenere;;Držalna plo?evina, posoda za pepel;;Chapa de sujeción contenedor de ceniza;;;;;;;;;;;Ersatzt;1,11;435744;
06-1010276;6,20;Abstandshalter Aschebehälter;;Spacer, ash container                                          ;;Entretoise bac à cendres                                       ;;Distanziatore contenitore della cenere;;Distan?nik, posoda za pepel;;Separador contenedor de ceniza;;;;;;;;;;;Ersatzt;0,20;435745;
06-1010278;46,80;Kabelkanal abnehmbar;;Cable duct, removable                                          ;;Caniveau de câbles amovible;;Canalina per cavi removibile;;Kabelski kanal, snemljiv;;Canal de cables extraíble;;;;;;;;;;;Ersatzt;1,58;435746;
06-1010280;83,40;Verkleidungsflügel;;Casing wing;;Partie d’habillage en saillie                                  ;;Battenti del rivestimento;;Krilca obloge;;Aleta de revestimiento;;;;;;;;;;;Ersatzt;0,65;435747;
06-1010281;383,00;Seitenwand rechts;;Side wall, right                                               ;;Panneau latéral à droite                                       ;;;;;;;;;;;;;;;;;Ersatzt;9,85;439138;
06-1010285;383,00;Seitenwand links;;Side wall, left                                                ;;Panneau latéral à gauche                                       ;;;;;;;;;;;;;;;;;Ersatzt;9,87;438886;
06-1010288;23,90;Rückwand Unten;;Rear wall, lower;;Panneau arrière en bas;;Parete posteriore inferiore;;Zadnja stena spodaj;;Pared trasera inferior;;;;;;;;;;;Ersatzt;2,40;439701;
06-1010289;64,60;Frontverkleidung Oben SB;;Front casing top SB;;Habillage avant en haut SB;;Rivestimento anteriore  superiore SB;;Sprednja obloga zgoraj SB;;Revestimiento delantero superior SB;;;;;;;;;;;Ersatzt;1,00;438893;
06-1010298;24,20;Rückwand Unten;;Rear wall, lower                                               ;;Panneau arrière en bas                                         ;;Parete posteriore inferiore;;Zadnja stena spodaj;;Pared trasera inferior;;;;;;;;;;;Ersatzt;2,01;439646;
06-1010299;56,40;Frontverkleidung Oben SB;;Front casing, top SB 8-12kW EF2;;Habillage avant en haut SB 8-12kW EF2                          ;;Rivestimento anteriore superiore SB 8-12kW EF2;;Sprednja obloga zgoraj SB 8–12 kW EF2;;Revestimiento delantero superior SB 8-12kW EF2;;;;;;;;;;;Ersatzt;0,37;439021;
06-1010303;344,10;Seitenwand rechts;;Side wall, right                                               ;;Panneau latéral à droite                                       ;;;;;;;;;;;;;;;;;Ersatzt;11,25;439109;
06-1010305;335,60;Seitenwand links;;Side wall, left                                                ;;Panneau latéral à gauche                                       ;;;;;;;;;;;;;;;;;Ersatzt;11,30;439213;
06-1010307;33,10;Rückwand Unten;;Lower rear wall 25-35 KW EF2                                   ;;Panneau arrière en bas 25-35 KW EF2                            ;;Parete posteriore inferiore 25-35 KW EF2;;Zadnja stena spodaj 25–35 KW EF2;;Pared trasera inferior 25-35 KW EF2;;;;;;;;;;;Ersatzt;2,87;439415;
06-1010308;69,10;Frontverkleidung Oben SBG;;Front casing top SBG;;Habillage avant en haut SBG;;Rivestimento anteriore  superiore SBG;;Sprednja obloga zgoraj SBG;;Revestimiento delantero superior SBG;;;;;;;;;;;Ersatzt;1,64;439141;
06-1010334;58,90;Dashboard C4 EFII;;Dashboard C4 EFII;;;;Cruscotto C4 EF2;;;;;;;;;;;;;;;Ersatzt;0,50;437854;
06-1010337;40,20;Kabelkanal  Frontverkleidung;;Cable duct front casing;;;;Canalina per cavi rivestimento anteriore;;;;;;;;;;;;;;;Ersatzt;0,60;435748;
06-1010341;34,40;Deckel Reinigungsöffnung;;Cover for cleaning opening;;Couvercle orifice de nettoyage;;Coperchio apertura per la pulizia;;Pokrov, kontrolna odprtina;;Tapa abertura de limpieza;;;;;;;;;;;Ersatzt;1,65;435749;
06-1010345;11,80;Halter U-Druckmessdose;;Holder negative pressure meter;;Support dépressiomètre;;Supporto scatola di misurazione della depressione;;Držalo, merilnik podtlaka;;Soporte para dinamómetro de depresión;;;;;;;;;;;Ersatzt;0,20;435750;
06-1010347;62,70;Servicedeckel Kettenkasten G30;;Chain box maintenance cover G30;;Couvercle de service carter de chaîne G30;;Coperchio di manutenzione scatola ruota dentata G30;;Servisni pokrov, ohišje verige G30;;Tapa de servicio caja de cadenas G30;;;;;;;;;;;Ersatzt;4,14;435751;
06-1010348;77,30;Servicedeckel Kettenkasten G50;;Chain wheel box cover G50;;Couvre-carter de chaîne G50;;Copertura scatola del pignone G50;;Pokrov ohišja verige G50;;Cubierta para caja de cadenas G50;;;;;;;;;;;Ersatzt;5,01;437788;
06-1010351;16,40;Blechdeckel;;;;;;;;;;;;;;;;;;;;;Ersatzt;1,95;438792;
06-1010356;282,10;Auflage oben;;Support, top;;Support en haut;;Appoggio superiore;;Ležišce zgoraj;;Apoyo superior;;;;;;;;;;;Ersatzt;2,25;435752;
06-1010358;280,30;Auflage oben;;Support, top;;Support en haut;;Appoggio superiore;;Ležišce zgoraj;;Apoyo superior;;;;;;;;;;;Ersatzt;2,25;435753;
06-1010360;67,20;Querauflage;;Transverse support;;Support transversal;;Appoggio trasversale;;Precno ležišce;;Asiento transversal;;;;;;;;;;;Ersatzt;0,87;435754;
06-1010365;736,70;Verkleidungstuer;;Casing door 20-50 kW;;Porte d'habillage 20-50 kW;;Porta rivestimento 20-50 kW;;Vrata obloge 20–50 kW;;Puerta de revestimiento 20-50 kW;;;;;;;;;;;Ersatzt;20,80;435755;
06-1010366;354,80;Verkleidung oberhalb Brennstoff;;Casing above fuel;;Habillage au-dessus du combustible;;Rivestimento sopra il combustibile;;Obloga zgoraj, gorivo;;Revestimiento superior del combustible;;;;;;;;;;;Ersatzt;4,80;435756;
06-1010368;274,00;Verkleidung oben Brennkammer;;Casing top combustion chamber;;Habillage en haut chambre de combustion;;Rivestimento superiore camera di combustione;;Obloga zgorevalne komore zgoraj;;Revestimiento superior para cámara de combustión;;;;;;;;;;;Ersatzt;1,85;435757;
06-1010370;449,20;Verkleidung Kesseltuer fix;;Casing boiler door, fixed;;Habillage porte de la chaudière fixe;;Rivestimento porta caldaia fisso;;Obloga vrat kotla, fiksna;;Revestimiento puerta de caldera fijo;;;;;;;;;;;Ersatzt;9,45;435758;
06-1010372;479,90;Verkleidung gegenueber Aschebox;;Casing opposite the ash container;;Habillage face au bac à cendres;;Rivestimento di fronte al contenitore cenere;;Pokrov nasproti posode za pepel;;Revestimiento frente a caja de ceniza;;;;;;;;;;;Ersatzt;7,85;435759;
06-1010374;495,60;Verkleidung Frontseite;;Casing, front;;;;Rivestimento di fronte;;;;;;;;;;;;;;;Ersatzt;6,13;437730;
06-1010376;116,60;Winkelleiste;;Angle strip;;;;Angolare;;;;;;;;;;;;;;;Ersatzt;1,27;437715;
06-1010378;93,60;Halter Decke;;Holder ceiling;;Support plafond;;Supporto per soffitto;;Držalo, pokrov;;Soporte para techo;;;;;;;;;;;Ersatzt;1,55;435760;
06-1010382;113,30;Verkleidung oben RLA;;Casing on top RLA;;Habillage en haut MTR;;Rivestimento superiore RLA;;Obloga zgoraj, dvig temp. povratka;;Revestimiento superior RLA;;;;;;;;;;;Ersatzt;1,86;435761;
06-1010384;100,80;Verkleidung oben WT;;Casing on top HE;;Habillage en haut ET;;Rivestimento superiore scambiatore termico;;Obloga toplotnega izmenjevalnika zgoraj;;Revestimiento superior WT;;;;;;;;;;;Ersatzt;2,30;435762;
06-1010388;60,30;Aufnahme Verkleidung;;Casing attachment;;Logement habillage;;Supporto rivestimento;;Ležišce, obloga;;Alojamiento para revestimiento;;;;;;;;;;;Ersatzt;0,12;435763;
06-1010390;379,40;Verkleidung Steuerungskasten;;Casing control box;;Habillage boîtier de commande;;Rivestimento scatola di comando;;Obloga, krmilna omarica;;Revestimiento caja de mando;;;;;;;;;;;Ersatzt;3,96;435764;
06-1010394;351,80;Verkleidung Reinigung;;Casing, cleaning;;Nettoyage de l'habillage;;Pulizia rivestimento;;Obloga, cistilnik;;Revestimiento para limpieza;;;;;;;;;;;Ersatzt;4,79;435765;
06-1010396;86,00;Aufnahme Verkleidungstuer;;Casing door attachment;;Logement porte d'habillage;;Alloggiamento porta rivestimento;;Ležišce vrat obloge;;Alojamiento puerta de revestimiento;;;;;;;;;;;Ersatzt;0,58;435766;
06-1010403;69,10;Auflage;;Support;;Support;;Appoggio;;Ležišce;;Apoyo;;;;;;;;;;;Ersatzt;1,37;435767;
06-1010409;756,80;Verkleidungstuer;;Casing door;;Porte d'habillage;;Porta rivestimento;;Vrata obloge;;Puerta de revestimiento;;;;;;;;;;;Ersatzt;25,24;435768;
06-1010413;355,30;Verkleidung oberhalb Brennstoff;;Casing above fuel;;Habillage au-dessus du combustible;;Rivestimento sopra il combustibile;;Obloga zgoraj, gorivo;;Revestimiento superior del combustible;;;;;;;;;;;Ersatzt;5,36;435769;
06-1010417;380,80;Verkleidung Steuerungskasten;;Casing control box;;Habillage boîtier de commande;;Rivestimento scatola di comando;;Obloga, krmilna omarica;;Revestimiento caja de mando;;;;;;;;;;;Ersatzt;4,44;435770;
06-1010419;92,90;Halter Decke;;Holder ceiling;;Support plafond;;Supporto per soffitto;;Držalo, pokrov;;Soporte para techo;;;;;;;;;;;Ersatzt;1,26;435771;
06-1010421;276,40;Verkleidung oben Brennkammer;;Casing top combustion chamber;;Habillage en haut chambre de combustion;;Rivestimento superiore camera di combustione;;Obloga zgorevalne komore zgoraj;;Revestimiento superior para cámara de combustión;;;;;;;;;;;Ersatzt;2,16;435772;
06-1010423;472,90;Verkleidung Kesseltuer fix;;Casing boiler door, fixed;;Habillage porte de chaudière fixe;;Rivestimento porta caldaia fisso;;Obloga vrat kotla, fiksna;;Revestimiento puerta de caldera fijo;;;;;;;;;;;Ersatzt;12,14;435773;
06-1010425;442,60;Verkleidung gegenueber Aschebox;;Casing opposite the ash container;;Habillage face au bac à cendres;;Rivestimento di fronte al contenitore cenere;;Pokrov nasproti posode za pepel;;Revestimiento frente a caja de ceniza;;;;;;;;;;;Ersatzt;8,27;435774;
06-1010427;168,10;Verkleidung oben RLA;;Casing on top RLA;;Habillage en haut MTR;;Rivestimento superiore RLA;;Obloga zgoraj, dvig temp. povratka;;Revestimiento superior RLA;;;;;;;;;;;Ersatzt;3,25;435775;
06-1010429;128,70;Verkleidung oben WT;;Casing on top HE;;Habillage en haut ET;;Rivestimento superiore scambiatore termico;;Obloga toplotnega izmenjevalnika zgoraj;;Revestimiento superior WT;;;;;;;;;;;Ersatzt;2,44;435776;
06-1010431;69,70;Querauflage;;Transverse support;;Support transversal;;Appoggio trasversale;;Precno ležišce;;Asiento transversal;;;;;;;;;;;Ersatzt;1,10;435777;
06-1010433;89,40;Aufnahme Verkleidungstuer;;Casing door attachment;;Logement porte d'habillage;;Alloggiamento porta rivestimento;;Ležišce vrat obloge;;Alojamiento puerta de revestimiento;;;;;;;;;;;Ersatzt;0,80;435778;
06-1010436;61,30;Aufnahme Verkleidung;;Casing attachment;;Logement habillage;;Supporto rivestimento;;Ležišce, obloga;;Alojamiento para revestimiento;;;;;;;;;;;Ersatzt;0,13;435779;
