Artikel;Netto;id;Name ES
06-1000462;381,50;267155;Revestimiento lateral izquierdo RAL1008
06-1000464;106,60;267156;Tapa de revestimiento trasera 1,25x410x500,5 RAL 6005
06-1000465;109,10;267157;Revestimientoscubierta posterior
06-1000466;120,20;267158;Tapa de revestimiento central 1,00x500,5x663 RAL 6005
06-1000467;176,40;267159;Revestimiento Panel frontal RAL6005
06-1000470;739,30;267160;Panel de la puerta
06-1000475;34,10;267161;Revestimiento de la puerta
06-1000479;15,80;267162;Soporte momento de torsión
06-1000480;14,10;267163;Guía de accionamiento del regulador galvanizada 10-1
06-1000487;34,10;267164;Chapa de clavijas 1x97,71x534,47 RAL 1007
06-1000488;259,60;270422;Escuadra de bisagra 4x92,33x260 pintada en negro
06-1000489;27,30;267165;Cubierta de la zona de control SHV L=486mm para 40-50KW
06-1000490;30,60;267166;Revestimiento zona control SHV
06-1000492;88,90;267167;Escuadra de fijación 1x97,71x534,47 RAL 1007
06-1000495;2.838,40;267168;Guarnecido para revestimiento cpl. SHV 40-50kW
06-1000497;25,90;267169;Panel de revestimiento inferior 1,00x177,5x541 negro.
06-1000498;127,80;267170;Revestimiento izquierdo unilateral RAL100
06-1000500;127,80;267171;Revestimiento derecho unilateral RAL10
06-1000506;483,50;267172;Revestimiento lateralderecho RAL 1007
06-1000508;750,00;267173;Revestimiento lateral izquierda RAL 1007
06-1000512;95,30;267174;Tapa de revestimiento central 1,00x506x752
06-1000513;151,80;267175;Panel frontal RAL 6005
06-1000516;641,50;267176;Panel de la puerta
06-1000529;30,00;267177;Aislamiento para tapa de fieltro termoaislante 80x450x760mm
06-1000539;17,00;267178;Aislamiento para tapa de fieltro termoaislante 80x550x760mm
06-1000548;44,60;267179;Carenado superior del panel de aislamiento
06-1000556;18,50;267180;Aislamiento quemador carenado derecho
06-1000557;18,50;267181;Aislamiento quemador carenado izquierdo
06-1000565;48,50;267182;Esquema remache cubierta conv. frecuencia TDS 300kW
06-1000575;50,00;267183;Travesaño trasero estructura TDS 300kW
06-1000586;31,50;272634;Aislamiento chapa de cubierta revestimiento de caldera T
06-1000588;101,00;267184;Cubierta de chapa trasera
06-1000589;101,00;267185;Chapa de cubierta central
06-1000590;101,00;267186;Cubierta de chapa delantera
06-1000609;136,20;267187;Revestimiento lateral superior trasero ensambl.
06-1000615;80,60;267188;
06-1000624;5.246,60;267189;Guarnecido revestim. cpl. TDS240/300kW incl. estructura
06-1000625;35,80;267190;Esquema de remache soporte conector doble TDS
06-1000627;3,20;267191;Chapa de refuerzo para conector doble
06-1000636;290,80;267192;Revestimiento intermedio delantero
06-1000643;182,80;267193;Revestimiento superior de la pared trasera
06-1000646;18,30;267194;Aislamiento pared trasera central, seda de vidrio S1
06-1000647;84,10;267195;Esquema de remache revestim. central pared trasera
06-1000650;34,10;267196;Aislamiento pared trasera inferior seda de vidrio S100
06-1000651;102,30;267197;Esquema de remache revestim. inferior pared trasera
06-1000653;23,80;267198;Regleta de obturación revestim. caldera TDS 150kW
06-1000655;102,30;267199;
06-1000657;63,60;267200;Revestimiento abertura de inspección TDS
06-1000658;59,00;267201;Panel trasero revestimiento de caldera TDS 150
06-1000661;269,10;267202;Revestimiento delantero
06-1010096;8,60;267203;Carril DIN
06-1010098;5,90;267204;Protector de bordes 9,5x6,5
06-1010174;89,80;267205;Revestimiento trasero izq. inf.
06-1010176;12,80;270019;
06-1010178;10,40;270020;
06-1010183;157,80;267206;Revestimiento lateral der. inf. tras.
06-1010188;82,20;267207;Tapa abertura de limpieza
06-1010192;27,00;267208;Aislamiento
06-1010225;130,10;267209;Tapa de revestimiento
06-1010243;34,10;267210;Pared trasera superior
06-1010246;52,70;267211;Revestimiento delantero superior
06-1010262;16,50;267212;Tapa ciega sinfín salida + impulsión
06-1010265;16,30;270657;
06-1010269;8,80;267213;Chapa de sujeción contenedor de ceniza
06-1010276;5,20;267214;Separador contenedor de ceniza
06-1010278;39,80;267215;Canal de cables extraíble
06-1010280;70,90;267216;Aleta de revestimiento
06-1010314;17,90;269943;Chapa protectora
06-1010334;50,10;270089;
06-1010337;34,10;267217;
06-1010341;29,30;267218;Tapa abertura de limpieza
06-1010345;10,00;267219;Soporte para dinamómetro de depresión
06-1010347;53,30;267220;Tapa de servicio caja de cadenas G30
06-1010348;65,70;270011;Cubierta para caja de cadenas G50
06-1010356;239,90;267221;Apoyo superior
06-1010358;238,30;267222;Apoyo superior
06-1010360;57,20;267223;Asiento transversal
06-1010365;626,60;267224;Puerta de revestimiento 20-50 kW
06-1010366;301,70;267225;Revestimiento superior del combustible
06-1010368;233,00;267226;Revestimiento superior para cámara de combustión
06-1010370;382,10;267227;Revestimiento puerta de caldera fijo
06-1010372;408,10;267228;Revestimiento frente a caja de ceniza
06-1010374;421,50;269911;
06-1010376;99,10;269895;
06-1010378;79,60;267229;Soporte para techo
06-1010382;96,10;267230;Revestimiento superior RLA
06-1010384;85,70;267231;Revestimiento superior WT
06-1010388;51,20;267232;Alojamiento para revestimiento
06-1010390;322,60;267233;Revestimiento caja de mando
06-1010394;299,00;267234;Revestimiento para limpieza
06-1010396;73,10;267235;Alojamiento puerta de revestimiento
06-1010403;58,70;267236;Apoyo
06-1010409;643,60;267237;Puerta de revestimiento
06-1010413;302,20;267238;Revestimiento superior del combustible
06-1010417;323,80;267239;Revestimiento caja de mando
06-1010419;78,80;267240;Soporte para techo
06-1010421;235,00;267241;Revestimiento superior para cámara de combustión
06-1010423;402,20;267242;Revestimiento puerta de caldera fijo
06-1010425;376,40;267243;Revestimiento frente a caja de ceniza
06-1010427;142,90;267244;Revestimiento superior RLA
06-1010429;109,50;267245;Revestimiento superior WT
06-1010431;59,20;267246;Asiento transversal
06-1010433;75,90;267247;Alojamiento puerta de revestimiento
06-1010436;52,10;267248;Alojamiento para revestimiento
06-1010440;63,80;267249;Apoyo
06-1010442;288,40;267250;Apoyo superior
06-1010444;288,40;267251;Apoyo superior
06-1010447;394,60;269913;
06-1010452;292,30;267252;Apoyo superior
06-1010454;292,30;267253;Apoyo superior
06-1010456;435,00;269912;
06-1010461;301,00;267254;Refuerzo lateral de puerta
06-1010462;241,50;267255;Panel inferior lado del quemador
06-1010464;269,80;267256;Panel superior lado del quemador
06-1010466;421,50;269914;
06-1010469;57,30;267257;Refuerzo
06-1010472;72,50;267258;Tope de puerta
06-1010474;60,60;267259;Refuerzo G
06-1010475;310,50;267260;Refuerzo lateral de puerta G
06-1010476;277,40;267261;Panel superior lado del quemador G
06-1010478;247,00;267262;Panel inferior lado del quemador G
06-1010480;435,00;269909;
06-1010481;435,00;269910;
06-1010482;238,00;267263;Revestimiento superior WT
06-1010486;77,00;270007;Soporte de sensor 2.0
06-1010506;43,00;271018;
06-1010514;34,60;270158;
06-1010515;13,30;270065;
06-1010516;7,50;270522;
06-1010520;3,40;270159;
06-1010524;23,40;270169;
06-1010525;20,10;270170;
06-1010526;23,90;270155;
06-1010533;56,80;270166;
06-1010534;40,10;270225;
06-1010551;35,60;270171;
06-1010552;33,40;270157;
06-1010556;35,70;270607;
06-1010561;53,60;270939;
06-1010564;295,20;270214;
06-1010566;222,80;270151;
06-1010569;40,10;270161;
06-1010570;27,80;270168;
06-1010604;62,40;270165;
06-1010605;7,80;270163;
06-1010607;23,40;270156;
06-1010617;12,30;270160;
06-1010649;46,40;269982;
06-1010655;118,70;270729;
06-1010656;107,10;270728;
06-1010660;61,60;270730;
06-1010661;113,60;270716;
06-1010665;100,90;270995;
06-1010670;37,80;270941;
06-1010678;40,10;270385;
06-1010680;15,70;270369;
06-1010683;47,90;270167;
06-1010702;518,00;270064;
06-1010712;10,20;270051;
06-1010715;21,70;270152;
06-1010716;16,00;270154;
06-1010717;7,00;270153;
06-1010724;13,80;270164;
06-1010725;104,70;270162;
06-1010731;81,20;270647;
06-1010733;116,80;270648;
06-1010735;100,60;270608;
06-1010737;81,20;270653;
06-1010740;6,50;270862;
06-1010757;16,30;270726;
06-1010758;20,10;270228;
06-1010759;18,40;270227;
06-1010763;199,50;272534;
06-1010767;50,40;272533;
06-1010770;14,90;270524;
06-1010776;189,00;272538;
06-1010780;15,80;272537;
06-1010783;52,50;270942;
06-1010792;113,60;270785;
06-1010793;129,80;270783;
06-1010799;22,70;270792;
06-1010802;90,80;270764;
06-1010809;30,90;270787;
06-1010810;39,00;270756;
06-1010811;39,00;270789;
06-1010813;7,80;270779;
06-1010814;7,80;270781;
06-1010815;13,00;270769;
06-1010816;44,70;270558;
06-1010818;63,00;270746;
06-1010819;29,20;270773;
06-1010820;14,60;270771;
06-1010822;16,30;270766;
06-1010827;207,70;270761;
06-1010828;60,10;270775;
06-1010829;57,20;270557;
06-1010831;81,20;270776;
06-1010832;32,50;270777;
06-1010833;123,30;270786;
06-1010834;139,60;270784;
06-1010837;32,50;270793;
06-1010838;129,80;270765;
06-1010841;45,50;270788;
06-1010842;51,90;270757;
06-1010843;42,20;270790;
06-1010844;7,80;270780;
06-1010845;8,40;270782;
06-1010846;16,30;270770;
06-1010847;39,00;270778;
06-1010848;71,40;270768;
06-1010849;29,20;270774;
06-1010850;16,90;270772;
06-1010851;16,30;270767;
06-1010858;211,00;270762;
06-1010866;21,10;270791;
06-1010867;135,20;270745;
06-1010868;129,80;270759;
06-1010869;162,20;270795;
06-1010870;162,20;270760;
06-1010871;89,30;270758;
06-1010872;98,90;270794;
06-1010907;157,50;271056;
06-2000005;149,20;267264;Revestimiento de quemador Easyfire 2
06-2000009;965,00;267265;Revestimiento de caldera 8-12kW EF2
06-2000010;1.010,30;267266;Revestimiento de caldera 15-22kW EF2
06-2000011;1.101,10;267267;Revestimiento de caldera 25-35kW EF2
06-2000012;109,30;267268;Revestimiento quemador EF2
06-2000013;96,60;267269;Revestimiento del quemador, depósito EF2
06-2000014;15,30;267270;Chapa protectora frontal EF2 prem.
06-2000016;283,80;267271;Pared izquierda 8-12kW EF2 prem.
06-2000017;283,80;267272;Pared derecha 8-12kW EF2 prem.
06-2000018;131,40;267273;Tapa de revestimiento EF2 prem.
06-2000019;238,40;267274;Chapa de cubierta revestimiento delantero EF2 prem.
06-2000020;283,80;267275;Pared izquierda 15-22kW EF2 prem.
06-2000021;283,80;267276;Pared derecha 15-22kW EF2 prem.
06-2000022;283,80;267277;Pared izquierda 25-35kW EF2 prem.
06-2000023;283,80;267278;Pared derecha 25-35kW EF2 prem.
06-2000024;109,60;267279;Revestimiento quemador EF2 RLU
06-2000025;64,00;267280;Revestimiento delantero superior SB 8-12kW EF2
06-2000026;72,50;267281;Pared trasera superior
06-2000027;72,50;267282;Pared trasera inferior
06-2000028;64,00;267283;Revestimiento delantero superior SBG
06-2000029;72,50;267284;Pared trasera inferior 25-35 KW EF2
06-2000030;64,00;267285;Revestimiento delantero superior SB
06-2000031;72,50;267286;Pared trasera superior
06-2000032;72,50;267287;Pared trasera inferior
06-2000033;51,50;267288;Chapa de cubierta quemador
06-2000034;72,50;267289;Pared trasera superior
06-2000035;1.294,00;267290;Revestimiento de caldera 20-50kW MF2
06-2000036;1.470,10;267291;Revestimiento de caldera 60-80kW MF2
06-2000037;1.498,40;267292;Revestimiento de caldera 90-120kW MF2
06-2000038;107,90;267293;Chapa de cubierta revestimiento delantero MF2 C3 prem.
06-2000039;153,30;267294;Revestimiento del quemador, depósito PEF+
06-2000043;109,10;267295;Chapa de cubierta revestimiento delantero PEF+ C3 prem.
06-2000044;238,40;267296;
06-2000045;306,60;267297;
06-2000046;102,30;267298;
06-2000049;147,00;270234;
06-2000053;690,70;270096;
06-2000054;713,00;270097;
06-2000055;735,20;270098;
06-2000058;187,10;270094;
06-2000059;200,60;270257;
06-2000060;963,60;270093;
06-2000063;165,50;270893;
06-2000064;1.725,80;270180;
06-2000066;1.106,50;270725;
06-2000067;1.168,00;270796;
06-2000068;1.232,90;270797;
06-2000069;111,40;270763;
06-2000070;104,90;270813;
06-2000074;370,70;270955;
06-2000079;6,80;271041;
07-1000001;13,30;267299;Estera de fibra de cerámica - Corte
07-1000005;87,80;267300;Tubo sinfín de la caldera USV 15-25 kW
07-1000031;267,00;267301;Parte inferior con extracción de ceniza negro lacado
07-1000035;323,60;267302;Estructura inferior con extracción de ceniza
07-1000043;85,00;267303;Tubo sinfín de la caldera para USV 30-100kW USV 30-100 kW
07-1000063;65,90;267304;Brida intermedio zona inferior-sinfín de la caldera
07-1000064;442,80;267305;Subestructura de UPS 30-100kW lacado negro. desde 07/2003
07-1000084;3,40;267306;Fijación pies de la caldera 4x50x117,8mm
07-1000091;40,10;267307;Elemento auxiliar elevación 370x100x112mm
07-1000092;2,90;267308;Chapa de apoyo para pies de caldera 100x100x3mm RAL6005
07-1000104;160,00;267309;Rodamiento de cargador USV cpl. sin mantenimiento desde 01.
07-1000116;56,80;267310;Estrangulador de aire aire secundario 100kW para G2E140
07-1000117;85,80;267311;Tapa de aire reequip. aire caliente principal L=250mm
07-1000128;398,00;267312;Anillo de post-combustión cpl.
07-1000152;27,00;267313;Pies de cúpula pieza repuesto
07-1000176;132,10;267314;Cúpula de postcombustión15-25kW
07-1000180;11,30;267315;Pasador mazarota US 15-25kW
07-1000181;373,70;267316;Anillo de postcombustión astillas de madera USV 15-25kW
07-1000196;219,50;267317;Plato de combustión Ø300mm FORM A astillas de madera 15-25kW
07-1000215;23,70;267318;Eje sensor biomasa 15-25kW para KWB Comfort
07-1000221;55,00;267319;Sensor biomasa forma semiesférica USV 15-25kW
07-1000222;73,50;267320;Carcasa de encendido reequipamiento
07-1000236;500,50;267321;Brida quemador dch. 15-25kW con extracción de ceniza
07-1000259;515,60;267322;Brida quemador izq. 15-25kW con extracción de ceniza
07-1000268;12,70;267323;Disco excéntrico 10x25x50, pintado en negro
07-1000269;5,60;269999;Casquillo separador varilla parrilla girat. L=17mm, negro
07-1000273;57,20;267324;Eje sensor de lecho de brasas Multipoin Ø16mm, L=
07-1000274;109,10;267325;Tubo encendido Pellets 239xØ50
07-1000275;100,80;267326;Tubo encendido 30-100 kW
07-1000276;206,60;267327;Cúpula de postcombustión 40-100kW CON pies
07-1000279;190,70;267328;Cúpula de postcombustión 40-100kW SIN pies! HASTA 2003
07-1000280;180,00;267329;Cúpula de postcombustión 40-100kW no cortada, SIN pies!
07-1000282;18,50;267330;Pasador mazarota 40-100kW
07-1000294;388,00;267331;Anillo de post-combustión cpl.
07-1000306;18,60;267332;Domfuß Ersatzteil
07-1000309;226,40;267333;Plato de combustión Ø320mm FORM B astillas de madera 25-40kW
07-1000318;226,40;267334;Plato de combustión Ø348mm FORM C astillas de madera 60 kW
07-1000337;14,10;270723;Tubo de encendido plato de combustión forma E
07-1000338;125,40;267335;Parte inferior plato de combustión forma E USV 80-100
07-1000340;307,80;267336;Parte sup. plato combustión forma E astillas 80-100kW fundic.
07-1000358;646,70;267337;Plato de combustión Pellets para USV 60-100kW
07-1000365;60,00;267338;Encendido USV 80-100kW
07-1000366;248,00;267339;Placa perforada fundición
07-1000371;253,80;267340;Anillo de ceniza plato combustión pellets USV 50-100kW fundic.
07-1000381;32,00;267341;Eje sensor biomasa 40-100kW para KWB Comfort
07-1000388;55,00;267342;Sensor biomasa forma semiesférica USV 30-100kW
07-1000391;62,00;267343;Sensor de lecho de brasas forma semiesférica USV 60-100kW
07-1000392;552,70;267344;Brida quemador izq. 40-100kW
07-1000404;27,10;267345;Tubo sonda dispositivo de descarga térmica   Ø21,3x2,65 L=220mm
07-1000423;552,70;267346;Brida quemador dch. 40-100kW
07-1000435;69,40;267347;Sujección parrilla giratoria extracción ceniza
07-1000439;221,50;267348;Varillaje parrilla girat. premontado + motor accionam. para USV
07-1000440;109,10;267349;Bástago parrilla giratoria
07-1000462;17,60;267350;Brazo ajustable derecha para bástago parrilla giratoria US V
07-1000466;17,00;267351;Brazo ajustable izquierdo para bástago parrilla giratoria US V
07-1000470;18,00;267352;Reglaje brazo para bástago parrilla giratoria US V
07-1000482;5,50;267353;Muelle para Drehpoti
07-1000489;4,10;267354;Imán titular placa, Nachrüstu. Ignición MultiPoint
07-1000490;68,20;267355;Tubo de encendido curvado 40-100kW reequipamiento, L=390mm
07-1000491;320,00;267356;Mazarota - parte inferior del quemador lista
07-1000493;6,20;267357;Soporte potencióm. giratorio para soldar a brida quemador
07-1000495;4,10;267358;Guía pasador mazarota
07-1000496;17,00;267359;Estrangulador de aire primario
07-1000498;172,50;267360;Ventilador primario G2E 120 astillas 40-100 kW incl. trampilla
07-1000499;8,40;267361;Tubo de conexión 0-100kW
07-1000500;45,50;267362;Estrangulador de aire secundario
07-1000501;234,70;267363;Ventilador secundario G2E 120 astillas 15-80kW incl. trampilla
07-1000502;3,10;267364;Interruptor de leva, reequipamiento encendido Multipo
07-1000503;36,10;267365;Mazarota extracción de cenizas
07-1000507;11,80;267366;Tapón roscado con rosca M12 caperuza de cierre 1 1/4"
07-1000510;3,50;267367;Colector de aire de lavado, reequip. encendido Multipoint
07-1000511;5,60;267368;Anillo de estrangulación Ø20 Ø145x2
07-1000512;5,60;267369;Anillo de estrangulación Ø25 Ø145x2
07-1000513;5,60;267370;Anillo de estrangulación Ø30 Ø145x2
07-1000514;5,60;267371;Anillo de estrangulación Ø35 Ø145x2
07-1000515;5,60;267372;Anillo de estrangulación Ø40 Ø145x2
07-1000516;5,60;267373;Anillo de estrangulación Ø45 Ø145x2
07-1000517;5,60;267374;Anillo de estrangulación Ø50 Ø145x2
07-1000518;5,60;267375;Anillo de estrangulación Ø55 Ø145x2
07-1000519;5,60;267376;Anillo de estrangulación Ø60 Ø145x2
07-1000520;5,60;267377;Anillo de estrangulación Ø67 Ø145x2
07-1000521;5,60;267378;Anillo de estrangulación Ø75 Ø145x2
07-1000522;9,60;267379;Anillo de estrangulación Ø175x2
07-1000523;2,00;267380;Suplemento 21x14x2
07-1000524;16,90;267381;Placa de aislamiento estructura inferior USV 15-25kW Vermi
07-1000525;9,40;267382;Placa aislante parte inferior USV 15-25KW Vermiculita
07-1000526;27,00;267383;Placa aislante parte inferior USV 30-100KW Vermiculita
07-1000527;25,50;267384;Placa aislante parte inferior US V 30x150x535mm Vermiculita
07-1000528;9,90;267385;Aislamiento USV estructura inf. 30-100kW 735 x 445mm
07-1000529;2,60;267386;Aislamiento USV estructura inf. 30-100kW 175 x 445mm
07-1000530;11,80;267387;Aislamiento USV estructura inf. 30-100kW 630 x 445 mm
07-1000532;400,40;267388;Sinfín de alimentación de la caldera USV V  L=2091mm
07-1000542;485,00;267389;Sinfín de alimentación de la caldera USV ZI, L=1699
07-1000545;385,80;267390;Sinfín de alimentación de la caldera USV D, L=1551
07-1000548;421,00;267391;Sinfín de alimentación de la caldera USV V, L=2217mm
07-1000551;642,40;270618;
07-1000552;485,00;267392;Sinfín de alimentación de la caldera USV ZI, L=1825  L=1825mm
07-1000554;3,40;267393;Diente de fresado
07-1000555;453,00;267394;Sinfín cargador USZI, L=1870mm para ángulo
07-1000556;500,50;267395;Sinfín de alimentación de la caldera USV D, L=1677mm
07-1000558;362,40;267396;Sinfín cargador USD, L=1730mm accion. ángulo 40-100kW antiguo
07-1000559;363,30;267397;Sinfín cargador USD, L=1590mm para ángulo
07-1000560;42,00;267398;Casquillo protector del eje US V Ø45,8xØ40h9 x Ø35
07-1000608;4,80;267399;Tubo acodado 90°, tipo 5001, cobre
07-1000609;5,20;267400;Cubierta lateral obturador USP
07-1000610;2,60;267401;Tornillo de cabeza cilíndrica 
07-1000611;7,50;267402;Membrana para trampilla de aire
07-1000613;63,70;267403;
07-1000616;4,50;267404;Chapa sujección de sondas montaje a posteriori 1,25x24x70
07-1000625;47,60;267405;Trampilla de aire cpl.
07-1000655;488,30;271057;Quemador de pelets 10-20kW
07-1000657;1.362,20;267406;Quemador pellets 10-20kW premont. para instal. con contenedor
07-1000658;1.725,40;267407;Quemador de pelets 10-20kW premontado
07-1000659;1.634,60;267408;Quemador pellets 10-20kW premont. para instal. con contenedor
07-1000660;86,70;267409;Compuerta antiincendios
07-1000665;115,50;267410;Canal cargador hasta 2003 rotación de motor Comf.2xx
07-1000673;62,10;267411;Plato de combustión USP 10-20kW
07-1000683;57,00;267412;Plato de combustión 10-20kW USP 10-20kW
07-1000684;57,80;267413;Tubo de encendido para USP 10-20kW
07-1000688;265,00;267414;Anillo de postcombustión USP 10-20kW
07-1000699;43,50;267415;Canal cargador USP 10-20KW giro izquierdas long. 727mm
07-1000704;49,10;267416;Canal cargador USP 10-20KW giro izq. Conten.
07-1000715;1.975,20;267417;Quemador de pelets 25-30kW premontado
07-1000716;1.941,00;267418;Quemador pellets 25-30kW premont. para instal. con contenedor
07-1000717;115,80;267419;Canal cargador hasta 2003 rotación de motor Comf.2xx
07-1000720;67,70;267420;Plato de combustión USP 25-30kW
07-1000724;61,90;267421;Plato de combustión 25-30kW USP 25-30kW
07-1000725;57,80;267422;Tubo de encendido para USP 25-30kW
07-1000727;322,00;267423;Anillo de postcombustión USP 30kW 25-30kW
07-1000732;49,80;267424;Canal cargador USP 25-30KW giro izquierdas L
07-1000735;55,70;267425;Canal cargador USP 25-30KW giro izq. Conten.
07-1000812;36,50;267426;Chapa guiado sistema de guías TDS
07-1000813;49,50;267427;Guías montaje TDS
07-1000817;81,20;267428;Guías montaje TDS
07-1000846;12,60;267429;Tapa ciega 3x125x165 pintada negra
07-1000847;9,00;267430;Guía de cadena 3x67,40x350
07-1000851;17,60;267431;Sujección contenedor de ceniza TDS 5x121x230
07-1000853;21,60;267432;Sujección contenedor de ceniza TDS 5x121x125
07-1000854;14.035,70;270236;Estructura inf y carcasa quemador con sist. combustión TDS150kW
07-1000860;34,10;267433;Brida de motor pintada en negro
07-1000863;32,50;267434;Brida de tornillo rotativo de óxido negro lacado.
07-1000865;24,80;267435;Placa de asiento anillo quemador 10x65x120
07-1000867;90,40;267436;Anillo 2 anillo quemador 8xØ250 TDS 150KW
07-1000869;205,10;267437;Anillo 4 anillo quemador 8xØ450 TDS 150KW
07-1000874;151,90;267438;Segmento 5 quema anillo roya TDS
07-1000875;242,90;267439;Centro de la quema de óxido TDS 150kW
07-1000876;89,30;267440;Anillo 2 TDS 130/300
07-1000877;6,00;267441;Stufenblech Brennrost TDS 150kW                                
07-1000878;70,90;267442;Antriebsrohr Brennrost TDS 150kW                               
07-1000879;69,20;270519;Placa TDS 150-300kW
07-1000880;128,10;267443;Cúpula cubrición TDS 120-250kW
07-1000888;98,00;267444;Parrilla TDS 5X320X320mm TDS 120-180kW
07-1000889;83,90;267445;Brennrostantrieb Schweißzeichnung TDS 150kW                    
07-1000892;27,60;267446;Placa de accionamiento superior del quemador TDS
07-1000893;181,60;267447;Deckhaube Brennrost Schweißzeichnung TDS 150-300kW             
07-1000903;4,40;267448;Casquillo separador Ø48,3x35,7, L=15mm
07-1000905;4,90;267449;Chapa separadora 1,5x30x127 estabilizador parrilla giratoria
07-1000908;36,30;267450;Rueda cadena de 1/2" x 5/16", 60 dientes parrilla giratoria TDS
07-1000911;69,70;267451;Segmento anillo ceniza con rascador TDS 150kW
07-1000912;228,70;267452;Placa giratoria TDS 120-180KW 6x490x490mm
07-1000914;62,90;267453;Limitador aire 5x142x457,40mm
07-1000915;21,50;267454;Pieza del quemador TDS L=321 mm
07-1000921;57,20;267455;Anillo ceniza anillo quemador 5x204,9x271,6
07-1000930;566,40;267456;Tobera aire secundario TDS 120-180kW
07-1000938;58,30;267457;Tobera precombustión derecha TDS 120-180kW
07-1000946;58,30;267458;Tobera precombustión izquierda TDS 120-180kW
07-1000948;61,60;267459;Sujección chapa de toberas
07-1000949;98,40;267460;Paquete chapa de toberas
07-1000953;27,80;267461;Bisagra para puerta de caldera pintada en negro
07-1000958;27,70;267462;Bisagra puerta de la caldera negro lacado
07-1000971;3,70;270515;Vástago roscado M16, L=140mm
07-1000973;135,10;267463;Pieza de puerta Niro 3x175,2x1038,2
07-1000975;357,50;267464;Puerta de la caldera TDS
07-1000977;6,20;267465;Placa de lana mineral para puerta de caldera 30x360x415 mm
07-1000979;9,00;267466;Placa vermiculita puerta de la caldera 40x191x323mm TDS
07-1000980;204,10;267467;Pieza hormigón refractario perfilada cubierta TDS 120-180KW
07-1000981;113,00;267468;Pieza hormigón refractario perfilada cubierta TDS 120-180KW
07-1000982;170,60;267469;Pieza hormigón refractario perfilada cubierta TDS 120-180KW
07-1000983;265,10;267470;Ladrillo moldeado cámara de combustión TDS 120-180KW
07-1000984;130,80;267471;Ladrillo moldeado cámara de combustión TDS 120-180KW
07-1000985;213,70;267472;Ladrillo moldeado cámara de combustión
07-1000986;235,40;267473;Ladrillo moldeado cámara de combustión TDS 150 kW
07-1000987;118,80;267474;Ladrillo moldeado cámara de combustión
07-1000988;122,30;267475;Ladrillo moldeado cámara de combustión
07-1000989;106,30;267476;Ladrillo moldeado cámara de combustión TDS 120-180KW
07-1000990;161,10;267477;Pieza hormigón refractario perfilada tobera TDS 120-180KW
07-1000991;16,00;267478;Ladrillo moldeado cámara de combustión TDS 120-180KW
07-1000992;43,60;267479;Pieza hormigón refractario perfilada cubierta TDS 120-180KW
07-1000993;34,90;267480;Pieza hormigón refractario perfilada cubierta TDS 120-180KW
07-1000994;28,70;267481;Pieza hormigón refractario perfilada cubierta TDS 120-180KW
07-1000995;41,50;267482;Pieza hormigón refractario perfilada cubierta TDS 120-180KW
07-1000996;139,00;267483;Ladrillo moldeado tubo de postcombustión
07-1000997;89,50;267484;Ladrillo moldeado recirculación de gases de humo TDS 120-18
07-1000998;5,50;267485;Sensores de puerta TDS 36x40x86 
07-1001000;12,70;267486;Placa aislante cubierta 40x360x425mm
07-1001002;13,00;267487;Placa aislante cubierta 40x343,67x425mm
07-1001004;487,80;267488;Sinfín de alimentación de la caldera TDS
07-1001013;43,30;267489;Brida de accionamiento sinfín de parrilla giratoria negra
07-1001016;87,90;267490;Sección accion. sinfín de parrilla giratoria pintada en negro.
07-1001019;265,30;267491;Sinfín de descarga de parrilla TDS 120-180kW
07-1001035;87,40;267492;Anillo ceniza plato de combustión Form E tipo fundición
07-1001066;5.523,00;270861;Carcasa de quemador
07-1001067;3,20;267493;Lengüeta roscada - reequipamiento
07-1001068;3,50;267494;Refuerzo trapezoidal, reequipamiento 8x55x25
07-1001069;3,20;267495;Casquillo separador, reequipamiento Ø20x4.5, L=22
07-1001071;2,30;267496;Chapa separadora 3x40x50
07-1001072;147,60;267497;Boquilla placa grupo TDS150
07-1001074;272,50;267498;Reequipamiento TDS150 - parrilla giratoria
07-1001075;119,20;267499;Canal cargador USP 10-20KW quemador de llave esférica
07-1001076;76,30;267500;Canal cargador USP 25-30KW quemador de llave esférica
07-1001106;48,80;267501;Anillo de ceniza de la quema de óxido segmento TDS 150kW
07-1001107;60,70;267502;Segmento de anillo de ceniza TDS 150kW
07-1001111;12,50;267503;Tubo de encendido plato de combustión de fundición B&C
07-1001120;28,50;267504;Regleta de obturación izq.
07-1001121;33,00;267505;Regleta de obturación delantera
07-1001122;28,50;267506;Regleta de obturación piezas de caldera
07-1001133;97,30;267507;Ladrillo moldeado cámara de combustión revestim. ignífugo
07-1001134;145,00;267508;Ladrillo de remate cámara de combustión
07-1001135;72,50;267509;Ladrillo moldeado cámara de combustión revestim. ignífugo
07-1001136;148,40;267510;Ladrillo moldeado cámara de combustión
07-1001137;62,70;267511;Ladrillo moldeado cámara de combustión revestim. ignífugo
07-1001138;153,90;267512;Ladrillo de base cámara de combustión revestim. ignífugo
07-1001139;47,50;267513;Ladrillo de base cámara de combustión ignífugo
07-1001140;29,60;267514;Ladrillo de base cámara de combustión revestim. ignífugo
07-1001142;96,40;267515;Ladrillo moldeado tubo de llama
07-1001143;233,50;267516;Ladrillo moldeado tubo de llama
07-1001144;278,20;267517;Bloque de boquillas izq. revestimiento ignífugo Fl
