Artikel;Netto;Name DE;Name EN;Name ES;id
07-2000198;798,00;Brennflansch LI 30-100kW Austausch  Multipoint USV;Burner flange left 30-100kW replacement multipoint USV;;355461
07-2000199;798,00;Brennflansch RE 30-100kW Austausch  Multipoint USV;Burner flange right 30-100kW replacement multipoint USV;;353552
07-2000203;2.124,60;Pelletbrenner 8-12kW EF2 vm. C4;Pellet burner 12 kW EF2 pre-assem. C4;;355995
07-2000204;2.124,60;Pelletbrenner 15-22kW EF2 vm. C4;Pellet burner 15-22 kW EF2 preassembled C4;;355994
07-2000205;2.225,30;Pelletbrenner 25-30kW EF2 vm. C4;Pellet burner 25-30kW EF2 pre-assem. C4;;355881
07-2000206;2.225,30;Pelletbrenner 35-38kW EF2 vm. C4;Pellet burner 35 kW EF2 pre-assem. C4;;355996
07-2000207;1.842,90;Unterbau 8-12kW EF2 vm. C4;Substructure 8-12kW EF2 pre-assem. C4;;355703
07-2000208;1.842,90;Unterbau 15-22kW EF2 vm. C4;Substructure 15-22kW EF2 pre-assem. C4;;355704
07-2000209;1.842,90;Unterbau 25-38kW EF2 vm. C4;Substructure 25-35kW EF2 pre-assem. C4;;355705
07-2000210;918,90;Scharnierbandkette selbstreinigend 60-120kW;Strap hinge chain, self-cleaning 60-120kW MF2 pre-assembled;;355716
07-2000211;461,30;Montagezubeh�r CF2 PE km.;Installation accessories CF2 PE commissioned;;356362
07-2000212;189,80;Drehrostflansch SBG;;;356562
07-2000214;170,40;Stokerlager USV vm.;;;356879
07-2000215;553,00;Umr�stl�sung blockierfester PFP-Stokerantrieb;;;356881
07-2000221;35,60;Schauglas Set CF2 BR-T�r;Inspection glass set CF2 combustion chamber door;;355736
07-2000233;92,50;Werkzeug-Set Umr�stung EF2 ZvO;Tool set retrofitting EF2 ign. fr. above;;355370
07-2000234;805,20;Pelletbrenner Tauscheinheit EF2 vm. ZvO;Pellet burner replacement unit EF2 pre-assembled Ign.fr.above;;355360
07-2000235;571,90;Nachr�stset 2 WK-Reinigung 240-300kW PF vm.;Retrofitting set 2 Reversal chamber;;355383
07-2000236;3.638,70;Brenner 20-50kW P16B MF2 vm.;Burner 20-50kW P16B MF2 pre-assem.;;355372
07-2000238;1.779,60;Pelletsbrenner vm Easyfire 1;Pellet burner pre-assem. Easyfire 1;;355769
07-2000239;34,20;Aschering 10-20 kW Easyflex Easyfire 1;Ash ring 10-20 kW Easyflex Easyfire 1;;355683
07-2000242;249,60;Aufschubabschottung 20-50kW vm.;Feeder separation 20-50 kW pre-assem.;;355763
07-2000243;329,40;Aufschubabschottung 60-120kW vm.;Feeder separation 60-120 kW pre-assem.;;355737
07-2000244;778,80;Wartungsset mit IV Paket TDS 300;Maintenance set with IV package 300 TDS;;355428
07-2000245;1.054,00;Wartungsset ohne IV Paket TDS 300;Maintenance set without IV package 300 TDS;;355427
07-2000246;411,10;Wartungsset Sicherheit und Regelung TDS150/300;Maintenance set, safety and control TDS150/300;;355473
07-2000247;251,70;Zubeh�r KWB Easyflex EF1;EquipmentKWB Easyflex EF1;;355780
07-2000248;3.638,70;SET Brenner 20-50kW MF2 PEF+;;;357005
07-2000249;4.708,60;SET Brenner 60-120kW MF2 PEF+;;;357006
07-2000250;86,60;Kettenspanner 60-120kW;Chain tensioner 60-120kW;;355627
07-2000253;374,70;Zellenradgeh�use 8-35kW EF2 vm.;Cellular wheel housing 8-35 kW EF2 preassembled;;356283
07-2000255;629,10;Scharnierbandkette selbstreinigend 20-50kW MF2 vm.;Strap hinge chain, self-cleaning 20-50 kW MF2 pre-assem.;;356339
07-2000257;875,00;Wartungsset Rostringe 3-7 TDS 300;Maintenance set, grate rings 3-7 TDS 300;;356217
07-2000258;2.928,90;Stokereinheit P16S 20-120kW MF2 vm.;;;356613
07-2000259;3.567,90;Stokereinheit P31S 60-120kW MF2 vm.;;;356579
07-2000262;1.541,60;Stokereinheit, PEF+ vm. C4;;;356572
07-2000263;451,80;Antriebseinheit Brenner MF2 vm.;;;356463
07-2000270;908,00;Nachr�stset Scharnierbandkette 60-120kW;Retrofitting set, strap hinge chain 60-120kW;;356273
07-2000272;4.351,80;Brenner 60-120kW MF2 vm.;;;356985
07-2000273;659,80;Nachr�stset Scharnierbandkette 20-50kW;Retrofitting set, strap hinge chain 20-50kW;;356367
07-2000276;313,10;Nachr�stset Stokerlager MF2 P16S km.;Retrofitting set, stoker bearing MF2 P16S commissioned;;356420
07-2000277;344,50;Nachr�stset Stokerlager MF2 P31S km.;Retrofitting set, stoker bearing MF2 P31S commissioned;;356421
07-2000278;2.110,40;Nachr�stset Scharnierbandkette PFP 75-135kW;;;356578
07-2000279;85,20;Aschering EF2 Edelstahl 8-12kW;;;356693
07-2000280;85,20;Aschering EF2 Edelstahl 15-22kW;;;356694
07-2000281;85,20;Aschering EF2 Edelstahl 25-40kW;;;356695
07-2000282;154,00;Aufschubabschottung 20-50kW vm.;;;356956
07-2000283;39,90;Einschubklappe Pellets 20-50kW vm.;;;356980
07-2000284;40,50;Einschubklappe Hackgut 20-50kW vm.;;;356982
07-2000285;209,50;Aufschubabschottung 60-120kW vm.;;;356955
07-2000286;55,40;Einschubklappe Pellets 60-120kW vm.;;;356983
07-2000287;56,30;Einschubklappe Hackgut 60-120kW vm.;;;356949
07-2000289;128,00;SET MF2 Reparatur Stokerlager P16S;;;357056
07-2000290;117,80;SET MF2 Reparatur Stokerlager P31S;;;357057
07-2000291;1.443,80;Nachr�stset Scharnierbandkette PFP 45-65kW;;;357058
07-2000294;1.386,60;TDS300 Flammrohr Formsteine rechts;;;357783
07-2000295;1.144,80;TDS300 Flammrohr Formsteine links;;;357784
07-2000296;657,90;TDS300 Brenner Formsteine unten;;;357787
07-2000297;992,20;TDS300 Brenner Formsteine oben;;;357788
08-1000004;529,60;Saugzugventilatorhaube kpl. inkl. Gebl�se Hanning 80-100kW;Induced draught fan hood complete incl. fan Hanning 80-100kW;Cubierta tiro de succi�n con ventilador Hanning 80-100kW;353553
08-1000010;310,10;Saugzuggeh. Hanning 80-100kW,  �200mm;Induced draught housing Hanning 80-100kW,  �200mm no hood;Carcasa tiro de succi�n Hanning 80-100kW, �200mm sin cubierta;353554
08-1000017;102,60;Saugzuggeh�use �180mm;Induced draught housing �180mm;Carcasa ventilador tiro �180mm para Ziehl-ebm R2E150;353556
08-1000028;181,30;Rauchrohranschlu� 15-25kW Rauchgassammle;Smoke pipe connector 15-25kW exhaust gas collector;Conexi�n tubo de humos 15-25kW colector gases de humo;353557
08-1000036;204,30;Haube Saugzugventilator inkl. Saugzugvent. R2E150 ab 2001;induced-draft fan hood + induced draft fan R2E150 from 2001    ;Caperuza ventilador de tiro incl. ventilador R2E150 ab 2001;353558
08-1000072;177,40;Rauchrohranschlu� 40-100kW, Rauchgassamm;Exhaust gas pipe connector 40-100kW exhaust gas collector;Conexi�n tubo de humos 40-100kW colector gases de humo;353560
08-1000073;49,60;Rauchrohrkastenaufsatz f�r SZ225,  US80-100kW;Smoke pipe cowl for SZ225 USV 80-100kW;Pieza ajuste tubo de humos para SZ225,� US80-100kW;353561
08-1000083;173,50;Rauchrohranschlu� hinten 40-100kW, �200m;Exhaust gas pipe connector rear 40-100kW, �200m;Conexi�n tubo de humos posterior 40-100kW, �200mm, US V;353562
08-1000088;437,40;Haube Saugzugventilator INKL. Hanning  PE 25-30kW;Hood, induced draught fan INCL. Hanning PE 25-30kW;Caperuza ventilador de tiro incl. Hanning� PE 25-30kW;353563
08-1000094;88,00;Rauchrohrentkoppelung �200 kpl;Exhaust gas pipe decoupling �200 cpl.;Desacoplamiento tubo de humos �200 cpl;353564
08-1000099;31,00;Lambdasonde Aufnahme Rp 3/4;Lambda probe mount Rp3/4;Alojamiento sonda Lambda  Rp 3/4��;353565
08-1000100;89,40;Abgasleitblech Saugzug USP 25-30kW;Exhaust gas baffle plate induction draught USP 25-30kW;Chapa deflectora gases escape ventilador tiro USP 25-30kW;353566
08-1000107;36,40;Rauchrohranschlu� �150;Exhaust gas pipe connector �150;Conexi�n para tubo de humos �150;353567
08-1000120;35,20;Abgasleitblech Saugzug USP 10-20kW;Exhaust gas baffle plate induction draught USP 10-20kW;Chapa deflectora gases escape ventilador tiro USP 10-20kW;353568
08-1000130;75,40;Rauchrohranschlu� �130 SBG;Smoke pipe connector �130;Conexi�n tubo humos �130;353570
08-1000135;169,80;Rauchgassammler TDS 150kW;Exhaust gas collector TDS 150kW;Colector de gases de combusti�n TDS TDS 150kW;353571
08-1000166;18,00;Blinddeckel RG-Rezi 2x298x298 - schwarz;Blind cover RG-Rezi 2x298x298 - black;Cubierta ciega RG-Rezi 2x298x298 - negro lacado;353572
08-1000168;344,70;RG-Anschlusskasten TDS;RG junction box TDS;RG-TDS caja de conexiones;353573
08-1000169;45,40;Saugzuganschluss RG-Rezi schwarz lack. A;Suction connection RG-Rezi varnished black ;Conexi�n de tiro de succi�n RG-Rezi pintada en negro A;353574
08-1000172;53,10;Reduzierst�ck RG-Rezi schwarz lack.;Reducer RG-Rezi varnished black;Reducci�n RG-Rezi negro lacado;353575
08-1000176;53,40;Rauchrohranschluss RG-Rezi TDS,  AD=249m;Exhaust gas pipe connector RG-Rezi TDS,� AD=249m;Conexi�n de tubo de humos RG-Rezi TDS, AD=249m;353576
08-1000189;79,80;Anschlussbox RG-Rezi TDS;Connection box RG-Rezi TDS                                     ;Caja de conexi�n RG-Rezi TDS;356524
08-1000216;412,00;Saugzugventilator vorm. mit Hall Sensor, USP25-30 ab 10/2007;Ind. draught fan pre-ass. + Hall sensor, USP25-30 f. 10/2007;Ventilador de succi�n para USP y EF 25-30;353579
08-1000218;1.106,20;Saugzugventilator TDS150 kpl. ohne Spiralgeh�use;Induced draught fan TDS150 complete without spiral housing;Ventil. tiro succi�n TDS150 cpl. sin carcasa espiral;353580
08-1000220;477,70;Staubabscheider TDS;Dust separator                                                 ;Separador de polvo;353581
08-1000230;87,50;Rauchrohr�bergang SZ Klein Schwei�zeichn;Smoke pipe transition piece SZ small ;Esquema de soldadura paso tubo de humos SZ peque�o;353583
08-1000232;6,50;Dichtring Saugzugventilator;Induced draught fan sealing ring;Anillo de obturaci�n ventilador tiro de succi�n;353584
08-1010003;121,20;Adapterplatte Saugzug KLEIN;Adapter plate induced draught LOW                              ;Placa adaptadora tiro de succi�n PEQUE�A;353585
08-1010029;2,30;Lambdasonde Aufnahme Rp3/4;Lambda probe mount Rp3/4                                       ;Alojamiento para sonda lambda Rp3/4;353586
08-1010034;429,80;Saugzuggeh�use �180;Induced draught housing �180;Carcasa tiro de succi�n �180;353587
08-1010039;100,70;Saugzuggeh�use �150;Induced draught housing �150;Carcasa tiro de succi�n �150;356327
08-1010046;6,70;Dichtring Saugzugventilator;Induced draught fan sealing ring;Anillo de obturaci�n ventilador tiro de succi�n;353588
08-1010047;290,20;Saugzugventilator vorm. Hall Sensor;Induced draught fan pre-assembled Hall sensor;Ventilador de succi�n EF 25-35kW;353589
08-1010048;7,00;Dichtung Rauchrohranschl. �130;;;355783
08-1010050;199,50;Saugzugventilator vorm. Hall Sensor;Induced draught fan pre-assembled Hall sensor;Ventilador de succi�n EF 8-22 kW;353590
08-1010088;19,40;Flanschdichtung;Flange seal;Junta abridada;355354
08-1010140;86,40;Anschlusskasten Rezi WT;Connection box recirc. HE;Caja de conexi�n Rezi WT;355353
08-1010161;6,80;Deckel;Cover;Tapa;356449
08-1010178;34,10;Aufnahme Bowdenzug Belimo;Bowden cable attachment Belimo;Alojamiento para cable bowden Belimo;353592
08-1010195;3,50;Dichtung;Seal;Junta;356488
08-1010196;4,60;Dichtung;;;357127
08-1010197;7,40;Dichtung Spiralgeh�use R2E210;Seal spiral casing R2E210;Junta para carcasa espiral R2E210;353593
08-1010200;170,50;Saugzug�bergang mit Deckel vm.,  PF 240/300;Induced draught transition with cover;Transici�n tiro de succi�n con tapa;353594
08-1010215;8,10;St�tzwinkel;supporting angle;;356843
08-1010224;36,40;Nachr�stplatte Rezi;Backfitting plate recirculation;Placa de reequipamiento Rezi;353595
08-1010227;326,60;Saugzugventilator �210 kompl.;Induced draught fan �210 compl.;Ventilador tiro de succi�n �210 compl.;353596
08-1010245;4,80;Dichtung Saugzuggeh�use;Induced draught housing seal;Junta para carcasa tiro de succi�n;353597
08-1010263;86,50;Saugzug K 2.0;Induced draught K 2.0;;355905
08-1010269;114,10;Saugzug G 2.0;Induced draught G 2.0;;355921
08-1010275;37,00;Rauchrohranschluss �130;Smoke pipe connector �130;;355894
08-1010277;3,20;Dichtung Rauchrohranschluss;Sealing, smoke pipe connector;;355546
08-1010278;39,20;Rauchrohranschluss �150;Smoke pipe connector �150;;355752
08-1010285;5,60;Dichtung Saugzuggeh�use;Induced draught housing seal;;355545
08-1010286;97,40;Saugzuggeh�use ZSB;Induced draught housing assembly group;;355649
08-1010308;137,70;Saugzug M;Induced draught M;;355634
08-1010330;234,90;Adapter-Rezi;Adapter recirc.;;356363
08-1010359;65,60;Rauchrohranschluss �150-90�;Smoke pipe connection �150-90�;;355788
08-1010362;59,40;Rezileitung TDS 150;;;356525
08-1010366;72,20;Adapter Rezi TDS 150;;;357102
08-1010370;78,80;Rezileitung TDS 300;;;356526
08-1010377;55,90;Klappenhebel RG-Rezi WT;;;356489
08-1010383;6,30;Isolierung Anschlusskasten Rezi;;;356527
08-1010384;17,50;Isolierung Adapter Rezi;;;356528
08-1010479;103,20;Antriebswelle Reinigung ZSB;;;356915
08-1010525;54,40;Anschlussflansch 10-22kW SBG;;;356666
08-1010530;437,80;Saugzuggeh�use SBG 10-22kW;;;356668
08-1010555;4,30;Dichtung ASF-WT 8-22kW;;;356664
08-1010556;14,90;Dichtung BWG-ASF 10-45kW;;;356665
08-1010579;431,30;Saugzuggeh�use SBG 25-45kW;;;356848
08-1010587;17,40;Dichtung SZG-BWG;;;356944
08-1010609;13,20;Dichtung ASF-WT 25-45kW;;;357009
08-1010612;12,40;Blinddeckel RG-Kasten;;;357012
08-1010614;6,10;Blinddeckel-Isolierung 25-45kW;;;357013
08-1010619;55,30;Anschlussflansch 40-45kW SBG;;;357015
08-1010635;107,50;Verbindungsschlauch 25-35kW;;;356972
08-1010636;107,50;Verbindungsschlauch 40-45kW;;;357016
08-1010764;64,60;Anschlussflansch Saugzug;Connection flange induced draft;;356652
08-1010826;149,70;Spiralgeh�use R2E150;;;356700
08-1010838;5,90;Dichtung Spiralgeh�use;;;356783
08-1010844;19,50;Befestigungsflansch Waschventil;;;357048
08-1010845;14,80;Dichtung Saugzugventilator;;;357010
08-1010846;22,40;Dichtung Saugzugventilator;;;356810
08-1010874;4,30;Dichtung;;;356774
08-1010889;8,30;Dichtung Anschlussflansch Saugzug;;;356653
08-1010899;282,20;Saugzugventilator �180mm Hybrid;;;356802
08-1010900;341,90;Saugzugventilator �210mm Hybrid;;;356801
08-1010908;113,00;Anschlussrohr RG-Rezi 150;;;356634
08-1010909;145,30;Anschlussrohr RG-Rezi 180;;;356671
08-1010910;111,80;Anschlussrohr RG-Rezi 200;;;356639
08-1010923;2.565,10;Steuerung OS-CTRL mit KWB Software;;;357031
08-1010924;1.254,40;HV-Modul mit L�fterdeckel f�r C3;;;357032
08-1010963;1.228,80;HV-Modul mit L�fterdeckel inkl. integierten CAN-Bus;HV module with fan cover incl. integrated CAN bus;;356957
08-2000001;1.468,80;Saugzugventilator TDS150 kpl. inkl. Geh�use;Induced draught fan TDS150 complete including housing;Ventil. tiro succi�n TDS150 cpl. incl. carcasa;353598
08-2000003;473,40;Saugzugventilator �180;Induced draught fan �180;Ventilador de tiro de succi�n �180;353600
08-2000004;216,20;ReZi Anschlusskasten Flammrohr PF vm.;Recirculation connecting box flame tube PF pre-assembl.;Caja de conexiones ReZi tubo de llana PF prem.;356075
08-2000006;167,30;ReZi Anschlusskasten W�rmetauscher 1 PF vm.;Recirculation connection box heat exchanger 1 PF pre-assembled;Caja de conexiones ReZi intercambiador de calor 1 PF prem.;355376
08-2000008;230,60;Nachr�stset Saugzugventilator Hall-Sensor 150;Backfitting set induced draught fan hall sensor;Kit reequip. ventilador tiro de succi�n sensor efecto Hall;353601
08-2000009;336,80;Nachr�stset Saugzugventilator Hall-Sensor 180;Backfitting set induced draught fan hall sensor;Kit reequip. ventilador tiro de succi�n sensor de efecto Hall;353602
08-2000021;402,60;Radialgebl�se PF 130/150 - REZI vm.;Radial fan E-Filter recirc. PF150 pre-assem.;;356364
08-2000022;51,30;Rundsteckverbinder mit einfacher Zugentlastung (5polig);Pin terminal with simple strain relief (5-pin);;355803
08-2000023;350,40;Kommunikationskabel inkl. Stecker;Communication cable incl. plug;;355804
08-2000024;2.288,00;Steuerungsbox ohne HV Modul;Control box without HV module;;355805
08-2000025;109,00;Rundsteckverbinder mti doppelter Zugentlastung (5polig);Pin terminal with double strain relief (5-pin);;355806
08-2000026;1.967,00;HV-Modul inkl. Geh�use (Slave);HV module incl. housing (slave);;355807
08-2000027;494,90;Gesamter Deckel mit Touchdisplay;Entire cover with touch display;;355808
08-2000028;117,50;Not-Aus-Knopf;Emergency off button;;355809
08-2000029;19,40;Messingschraube (f�r Isolator);Brass screw (for insulation);;355810
08-2000030;12,80;O-Ring (f�r Isolator);O-ring (for insulation);;355811
08-2000031;104,30;Abdeckung zu OekoRona 2-2-200/ 2-2-300;Cover for OekoRona 2-2-200/ 2-2-300;;355863
08-2000032;149,60;Sicherheits-Positionsschalter;Safety position switch;;355755
08-2000033;203,20;Temperaturf�hler inkl Kabel;Temperature sensor incl. cable;;355812
08-2000034;172,90;Hochspannungskabel (300mm) zu OekoRona;High voltage cable (300mm) to OekoRona;;355813
08-2000035;25,70;Counter (Schalter);Counter (switch);;355814
08-2000036;89,70;Antriebswelle;Drive shaft;;355815
08-2000037;89,70;Motorwellenverbinder;Motor shaft connector;;355816
08-2000038;193,20;St�tze Reinigungsmotor;Support, cleaning motor;;355864
08-2000039;76,90;Z�hlerscheibe (Zahnrad);Counter disk (cogwheel);;355817
08-2000040;35,00;Buchse Reinigungsmotor;Female connector, cleaning motor;;355865
08-2000041;76,90;Abdeckung Reinigungsmotor;Cover, cleaning motor;;355818
08-2000042;123,00;Platte Reinigungsmotor;Board, cleaning motor;;355866
08-2000043;256,40;Reinigungsmotor;Cleaning system motor;;355819
08-2000044;30,80;T�rscharniere;Door hinges;;355822
08-2000045;87,20;T�rdichtung (Silikon) 4300mm-OekoRona 2-2-200;Door sealing (silicone) 4300mm-OekoRona 2-2-200;;355823
08-2000046;95,50;T�rdichtung (Silikon) 4700mm-OekoRona 2-2-300;Door sealing (silicone) 4700mm-OekoRona 2-2-300;;355824
08-2000047;531,70;Schieber hinten (Korb Reinigung) mit Mitnehmstab - 1-1-200;Slider, rear (basket, cleaning) with pick-up-stick - 1-1-200;;355825
08-2000048;608,70;Schieber hinten (Korb Reinigung) mit Mitnehmstab -  1-1-300;Slider, rear (basket, cleaning) with pick-up-stick - 1-1-300;;355826
08-2000049;19,70;Bet�tiger Sicherheitspositionsschalter;Actuator, safety position switch;;355757
08-2000050;505,00;Schieber vorne (Korb Reinigung) 1-1-200;Slider, front (basket, cleaning) 1-1-200;;355827
08-2000051;570,30;Schieber vorne (Korb Reinigung) 1-1-300;Slider, front (basket, cleaning) 1-1-300;;355828
08-2000052;19,40;Spannverschluss-Hacken;Tension lock hook;;355868
08-2000053;89,70;mechanisches T�rschloss;Mechanical door lock;;355829
08-2000054;246,10;Lamellenisolator;Rib insulator;;355830
08-2000055;538,20;Isolator (Teflonstab) und Elektrodenhalter (Sechskant);Insulator (teflon rod) and electrode holder (hexagonal);;355831
08-2000056;153,80;Antriebszahnrad OekoRona 1-1-200;Drive cogwheel OekoRona 1-1-200;;355832
08-2000057;128,10;Antriebszahnrad OekoRona 1-1-300;Drive cogwheel OekoRona 1-1-300;;355833
08-2000058;140,90;Buntbuchse mit Antriebswelle;Collar bushing with drive shaft;;355834
08-2000059;51,30;Federelement;Spring element;;355835
08-2000060;621,50;Waagrechter Elektrodenhalter mit Elektrode 1-1-200;Horizontal electrode holder with electrode 1-1-200;;355836
08-2000061;839,30;Waagrechter Elektrodenhalter mit Elektrode 1-1-300;Horizontal electrode holder with electrode 1-1-300;;355837
08-2000062;135,80;Vorderes Zahnrad (kleiner Durchmesser) OekoRona 1-1-200;Front cogwheel (small diameter) OekoRona 1-1-200;;355838
08-2000063;148,70;Vorderes Zahnrad (kleiner Durchmesser) OekoRona 1-1-300;Front cogwheel (small diameter) OekoRona 1-1-300;;355867
08-2000064;62,00;Kugellager;Ball bearing;;355839
08-2000065;148,70;hinteres Zahnrad grosser Durchmesser) 1-1-200;Rear cogwheel (large diameter) OekoRona 1-1-200;;355840
08-2000066;408,00;hinteres Zahnrad grosser Durchmesser) 1-1-300;Rear cogwheel (large diameter) OekoRona 1-1-300;;355841
08-2000067;22,60;Spannverschluss;Tension lock;;355842
08-2000068;77,00;Winkel (mechanisches T�rschloss);Angle (mechanical door lock);;355843
08-2000069;576,60;Schublade - OekoRona 1-1-200;Drawer - OekoRona 1-1-200;;355844
08-2000070;731,60;Schublade - OekoRona 1-1-300;Drawer - OekoRona 1-1-300;;355845
08-2000071;47,40;KWB Kabel Freigabe 24V 7m;KWB cable release 24V 7m;;355820
08-2000072;54,00;KWB Kabel Sicherheitskreis 230V 7m;KWB cable safety circuit 24V 7m;;355821
08-2000110;570,60;Anschlusskasten Rezi WT vm.;Connection box recirc. heat exchanger pre-assem.;;356365
08-2000112;2.209,60;HV-Modul Geh�use (Slave) inkl. Deckel mit L�fter;HV module housing (slave) incl. cover with fan;;356288
08-2000113;3.314,80;Steuerungsbox mit HV Modul ohne L�fterdeckel;Control box with HV module without fan cover;;356289
08-2000139;979,80;BG MF2 REZI Anschlusskasten;;;356607
08-2000152;286,80;ZSB Antriebswelle Bypass 60-120kW option;;;356988
08-2000157;1.270,00;SET MF2 REZI Nachr�stung 20-50kW C4;;;356672
08-2000158;1.301,80;SET MF2 REZI Nachr�stung 60-135kW C4;;;356670
08-2000179;63,50;Dichtungsset Deckel Vorne, E-Filter 60-120kW;;;357041
08-2000185;307,20;Aschelade E-Filter 60-120kW;;;356954
08-2000186;95,40;Welle Bypassklappe, 20-50kW;;;356989
09-1000014;12,10;Befestigungsschraube;Fastening bolt;Tornillos de sujecci�n;353603
09-1000017;28,60;Befestigungsbolzen;Fastening bolts;Perno de fijaci�n;353604
09-1000023;228,40;Aschebeh�lter 48 Liter kpl. USV 15-25kW;Ash container 48 litre cpl. USV 15-25kW;Contenedor de ceniza 48 l completo USV 15-25kW;353605
09-1000037;563,50;Aschebeh�lter kpl.    65 l Schneckenkanal ECKIG;Ash container complete 65l screw channel RECT.;Contenedor de ceniza completo 65 l canal sinfin angular;353606
09-1000052;12,40;Aschebeh�lterbefestigung USV 30-100kW;Ash container fastening USV 30-100kW;Fijaci�n para contenedor de ceniza USV 30-100kW;353608
09-1000058;119,70;Ascheschnecke mit Bohrung US 15-25kW L=;Ash screw with drill hole US 15-25kW ;Sinf�n de ceniza con agujero US 15-25kW L=1200mm;353609
09-1000062;119,70;Ascheschnecke US 15-25kW, L=1160mm;Ash screw US 15-25kW l=1160mm;Sinf�n de ceniza US 15-25kW, L=1160mm;353610
09-1000068;27,80;Vierkantadapter Ascheschnecke;Square adapter ash screw;Adaptador cuadrado sinf�n de ceniza;353611
09-1000069;201,00;Ascheschnecke mit Bohrung 30-100kW;Ash screw with drill hole 40-100kW l=1;Sinf�n de ceniza con agujero 40-100kW� L=1340mm;353612
09-1000072;27,30;Verl�ngerung Ascheschnecke USV D 15-100;Extension ash screw USV D 15-100;Prolongaci�n sinf�n de ceniza USV D 15-100kW;353613
09-1000076;36,50;Verl�ngerung Ascheschnecke USV ZI 15-10;Extension ash screw USV ZI 15-10;Prolongaci�n sinf�n de ceniza USV ZI 15-100kW;353615
09-1000079;61,90;Verl�ngerung Ascheschnecke USV V 15-40k;Extension ash screw USV V 15-40k;Prolongaci�n sinf�n de ceniza USV V 15-40kW;353617
09-1000082;198,00;Ascheschnecke ohne Bohrung 30-100kW;Ash screw without drill hole 40-100kW  ;Sinf�n de ceniza sin agujero 40-100kW� L=1300mm;353618
09-1000090;10,40;Tragb�gel;Carrying handle                                                ;Estribo portante;353619
09-1000092;57,80;Ascheladedeckel USP 25-30kW;ash tray cover USP 25-30kW                                     ;Cubierta contenedor ceniza USP 25-30kW;353620
09-1000094;92,30;Aschelade SBG USP25-30kW;Ash tray cover USP25-30kW;Contenedor ceniza USP25-30KW;353621
09-1000098;53,50;Ascheverdichtung 25-30kW;Ash compaction unit 25-30kW                                    ;Compactaci�n de ceniza 25-30kW;353622
09-1000103;82,20;Ascheschnecke L=875mm;Ash screw l=875mm;Sinf�n de ceniza L=875mm USP 25-30kW;353623
09-1000105;54,80;Beh�lteraufnahme USP 25-30kW;Tank mounting USP 25-30kW;Alojamiento contenedor USP 25-30kW;353624
09-1000115;36,60;Ascheladedeckel USP 10-20kW;Ash tray cover USP 10-20kW;Cubierta contenedor ceniza USP 10-20kW;353625
09-1000122;27,00;Teleskoprohr Aschebeh�lter kpl USP Ascheaustragung;Telescopic tube ash container cpl. USP ash removal;Tubo telesc�pico contenedor de ceniza cpl. USP extrac. ceniza;353626
09-1000123;92,30;Aschelade SBG USP10-20KW;ash tray USP 10-20kW                                           ;Contenedor ceniza USP10-20KW;353627
09-1000128;53,50;Ascheverdichtung SBG 10-20kW;Ash compaction unit 10-20kW                                    ;Compactaci�n de ceniza 10-20kW;353628
09-1000144;100,20;Wischereinheit Ascheaustr.  VM USP 10-30kW;Wiper unit ash removal  VM USP 10-30kW;Unidad de raspado sistema extracci�n ceniza� VM USP 10-30kW;353629
09-1000149;2,70;Motorwellenabdichtung Ascheantrieb USP;Motor shaft seal ash removal USP;Sellado eje motor accionamiento ceniza USP;353631
09-1000150;11,40;Gleitlagerbundbuchse ID26/AD30;Plain bearing flange bushing ID26/AD30 ID26xAD30;Casquillo cojinete ID26/AD30 ID26xAD30xD36/3xL=20mm;353632
09-1000151;24,80;Antriebseinheit Wischer auto. Ascheaust;drive unit for wiper automatic ash removal system USP 10-30 kW ;Unidad de accionamiento limpiador auto. Extr. cenizas;353633
09-1000157;55,40;Beh�lteraufnahme USP 10-20kW;Tank mounting USP 10-20kW;Asiento contenedor USP 10-20kW;353634
09-1000164;5,20;Beh�lteraufnahme Dichtung AD70/ID46 x 8m;Tank mounting AD70/ID46 x 8m;Asiento contenedor sellado AD70/ID46 x 8mm;353635
09-1000165;1,70;Isolierung Frontabdeckung USP 10-30kW;Insulation, front cover USP 10-30kW;Aislamiento cubierta frontal USP 10-30kW;353636
09-1000167;61,60;Ascheschnecke L=826mm;Ash screw l=826mm;Sinf�n de ceniza L=826mm USP 10-20kW;353638
09-1000171;6,50;Stellring A�38 x I�22mm, L=10mm;Adjusting ring A�38 x I�22mm, l=10mm;Anillo de ajuste A�38 x I�22mm, L=10mm;353639
09-1000181;22,60;Achse Aschebeh�lter �12x2 L=487;Axle ash container �12x2 l=487;Contenedores Ceniza  �12x2 eje L = 487;356264
09-1000183;195,70;Aschebeh�lter USP 10-30 kpl.;Ash container USP 10-30 complete ;Contenedor de ceniza USP 10-30 completo;353641
09-1000185;34,00;Deckelblech 1,25x422,6x644;Cover plate 1.25x422.6x644;Chapa de cubierta 1,25x422,6x644;353642
09-1000198;33,60;Aschefangtasse Aschebeh�lter TDS;Ash collection cup, ash container TDS                          ;Recipiente recogedor contenedor de cenizas TDS;356322
09-1000199;10,80;Befestigungswinkel Aschefangt. 2x85x266,;Attachment bracket, ash collection cup. 2x85x266,              ;Escuadra de fijaci�n recipiente recogedor de cenizas 2x85x266,;356321
